<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
<b>Stereoscopic 3D</b> , <b>Stereoscopic 3D</b>(模拟3d电影)
<b>Arrays & Tiles</b> , <b>Arrays & Tiles</b>(阵列和平铺)
<b>Black & White</b> , <b>Black & White</b>(黑&白)
<b>Deformations</b> , <b>Deformations</b>(变形器)
<b>Degradations</b> , <b>Degradations</b>(画面解析特效)
<b>Frequencies</b> , <b>Frequencies</b>(频谱化控制)
<b>Silhouettes</b> , <b>Silhouettes</b>(剪影)
<b>Rendering</b> , <b>Rendering</b>(渲染特效)
<b>Sequences</b> , <b>Sequences</b>(渲染序列帧)
<b>Artistic</b> , <b>Artistic</b>(艺术效果)
<b>Contours</b> , <b>Contours</b>(轮廓)
<b>Patterns</b> , <b>Patterns</b>(纹理效果)
<b>Details</b> , <b>Details</b>(细节强调)
<b>Animals</b> , <b>Animals</b>(动物剪影)
<b>Various</b> , <b>Various</b>(多种特效包)
<b>Colors</b> , <b>Colors</b>(颜色)
<b>Frames</b> , <b>Frames</b>(艺术化相框)
<b>Layers</b> , <b>Layers</b>(图层操作)
<b>Repair</b> , <b>Repair</b>(修复)
<b>Nature</b> , <b>Nature</b>(自然元素剪影)
<b>Others</b> , <b>Others</b>(其他)
<b>Icons</b> , <b>Icons</b>(图标)
<b>Misc</b> , <b>Misc</b>(扩展剪影)
<b>Testing</b> , <b>Testing</b>(测试(以下翻译均未校对))
Resynthetize Texture [Patch-Based] , Resynthetize Texture [Patch-Based](重新合成纹理[基于补丁])
Colorize Lineart [Smart Coloring] , Colorize Lineart [Smart Coloring](线稿着色[智能着色])
Extract Foreground [Interactive] , Extract Foreground [Interactive](提取前景[交互式])
Annular Steiner Chain Round Tile , Annular Steiner Chain Round Tile(环形施泰纳链圆形瓷砖)
CLUT from After - Before Layers , CLUT from After - Before Layers(从之后-层之前进行剪切)
Equirectangular to Nadir-Zenith , Equirectangular to Nadir-Zenith(等量矩形→最低-最高)
Colorize Lineart [Propagation] , Colorize Lineart [Propagation](线稿着色[传播])
Kaleidoscope [Reptorian-Polar] , Kaleidoscope [Reptorian-Polar](万花筒[Reptorian极坐标])
Transfer Colors [Patch-Based] , Transfer Colors [Patch-Based](转移颜色[基于补丁])
Transfer Colors [Variational] , Transfer Colors [Variational](转移颜色[可变])
Inpaint [Transport-Diffusion] , Inpaint [Transport-Diffusion](修复[输移扩散])
Construction Material Texture , Construction Material Texture(建筑材料质地)
Colorize Lineart [Auto-Fill] , Colorize Lineart [Auto-Fill](线稿着色[自动填充])
Local Variance Normalization , Local Variance Normalization(局部方差标准化)
Stereoscopic Image Alignment , Stereoscopic Image Alignment(立体图像对齐)
Make Seamless [Patch-Based] , Make Seamless [Patch-Based](无缝处理[补丁])
Transfer Colors [Histogram] , Transfer Colors [Histogram](转移颜色[直方图])
Sharpen [Inverse Diffusion] , Sharpen [Inverse Diffusion](锐化[逆扩散])
Sharpen [Octave Sharpening] , Sharpen [Octave Sharpening](锐化[八度锐化])
Smooth [Selective Gaussian] , Smooth [Selective Gaussian](平滑[选择性高斯])
Sinusoidal Water Distortion , Sinusoidal Water Distortion(正弦水变形)
Local Contrast Enhancement , Local Contrast Enhancement(局部对比度增强)
Resynthetize Texture [FFT] , Resynthetize Texture [FFT](重新合成纹理[FFT])
Equation Plot [Parametric] , Equation Plot [Parametric](方程式图[参数])
3D Image Object [Animated] , 3D Image Object [Animated](3D贴图物体[动画])
Automatic Depth Estimation , Automatic Depth Estimation(自动深度估算)
Rebuild From Similar Blocs , Rebuild From Similar Blocs(方块重建)
Make Seamless [Diffusion] , Make Seamless [Diffusion](无缝处理[扩散])
Equalize Local Histograms , Equalize Local Histograms(局部直方图平衡)
Sharpen [Richardson-Lucy] , Sharpen [Richardson-Lucy](锐化[Richardson-Lucy])
Iain Noise Reduction 2019 , Iain Noise Reduction 2019(Iain 降噪2019)
Smooth [Geometric-Median] , Smooth [Geometric-Median](平滑[几何中值])
Colorize [with Colormap] , Colorize [with Colormap](着色[使用色表])
Color Mask [Interactive] , Color Mask [Interactive](色彩蒙版[交互])
Stereographic Projection , Stereographic Projection(立体投影)
Split Details [Gaussian] , Split Details [Gaussian](细节分离(高斯))
Split Details [Wavelets] , Split Details [Wavelets](细节分离(微波))
Smooth [Total Variation] , Smooth [Total Variation](平滑[全变分])
Depth Map Reconstruction , Depth Map Reconstruction(深度图重建)
Unquantize [JPEG Smooth] , Unquantize [JPEG Smooth](取消量化[JPEG平滑])
Color Abstraction Paint , Color Abstraction Paint(彩色抽象油漆画)
Difference of Gaussians , Difference of Gaussians(高斯函数差分)
Kaleidoscope [Symmetry] , Kaleidoscope [Symmetry](万花筒[对称])
Sharpen [Shock Filters] , Sharpen [Shock Filters](锐化[冲击滤波模型])
Gradient [Custom Shape] , Gradient [Custom Shape](渐变[自定义形状])
Mandelbrot - Julia Sets , Mandelbrot - Julia Sets(曼德勃罗-茱莉亚分形)
Inpaint [Morphological] , Inpaint [Morphological](修复[形态])
Repair Scanned Document , Repair Scanned Document(修复扫描文件)
Smooth [Mean-Curvature] , Smooth [Mean-Curvature](平滑[平均曲率])
3D Elevation [Animated] , 3D Elevation [Animated](3D高度[动画])
3D Extrusion [Animated] , 3D Extrusion [Animated](3D挤压[动画])
Single Image Stereogram , Single Image Stereogram(单图像立体图)
Blur [Multidirectional] , Blur [Multidirectional](模糊[多向])
Download External Data , Download External Data(下载外部数据)
Tiled Parameterization , Tiled Parameterization(平铺 参数化)
