<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
<b>Artistic</b> , <b>Artístico</b>
<b>Black & White</b> , <b>Preto e Branco</b>
<b>Colors</b> , <b>Cores</b>
<b>Contours</b> , <b>Contornos</b>
<b>Deformations</b> , <b>Deformações</b>
<b>Degradations</b> , <b>Degradações</b>
<b>Details</b> , <b>Detalhes</b>
<b>Testing</b> , <b>Testes</b>
<b>Frames</b> , <b>Molduras</b>
<b>Frequencies</b> , <b>Frequências</b>
<b>Layers</b> , <b>Camadas</b>
<b>Lights & Shadows</b> , <b>Luzes e Sombras</b>
<b>Patterns</b> , <b>Padrões</b>
<b>Rendering</b> , <b>Renderização</b>
<b>Repair</b> , <b>Reparação</b>
<b>Sequences</b> , <b>Sequências</b>
<b>Silhouettes</b> , <b>Silhuetas</b>
<b>Icons</b> , <b>Ícones</b>
<b>Misc</b> , <b>Diversos</b>
<b>Nature</b> , <b>Natureza</b>
<b>Others</b> , <b>Outros</b>
<b>Stereoscopic 3D</b> , <b>Estereoscópico 3D</b>
&#9829; Support Us ! &#9829; , ♥ Apoie-nos! ♥
*Colors Doping , *Cores Doping
*Colors Doping* , *Cores Doping*
*Comix Colors* , *Cores do Mix*
*Dark Edges* , *Bordaduras escuras*
*Dark Screen* , *Ecrã escuro*
*Graphix Colors , *Cores do Graphix
*Vivid Screen* , *Ecrã Vívido*
- NO - , - NÃO -
-1. Value Action , -1. Valor Acção
-2. Overall Channel(s) , -2. Canal(s) geral(is)
-3. Normalisation Channel(s) , -3. Canal(s) de normalização
-4. Normalise , -4. Normalizar
0.  Recompute , 0. Recompute
1 Levels , 1 Níveis
1.  Plasma Texture [Discards Input Image] , 1. Textura de Plasma [descarta imagem de entrada]
10.  Quadtree Max Precision , 10. Quadtree Max Precisão
10th , 10º.
10th Color , 10ª Cor
11.  Quadtree Min Homogeneity , 11. Homogeneidade de Quadtree
11th , 11ª
12 Colors , 12 Cores
12.  Quadtree Max Homogeneity , 12. Homogeneidade Quadtree Max
125 Keypoints , 125 Pontos-chave
12th , 12ª
13. Noise Type , 13. Tipo de Ruído
13th , 13o.
14. Minimum Noise , 14. Ruído Mínimo
14th , 14ª
15. Maximum Noise , 15. Ruído Máximo
15th , 15
16 Colors , 16 Cores
16. Noise Channel(s) , 16. Canal(s) de Ruído
16th , 16o.
17. Warp Iterations , 17. Iterações warp
18. Warp Intensity , 18. Intensidade Warp
180 Deg. , 180 graus.
19. Warp Offset , 19. Desvio de Warp
1st , 1o.
1st Additional Palette (.Gpl) , 1ª Paleta Adicional (.Gpl)
1st Color , 1ª Cor
1st Parameter , 1º Parâmetro
1st Text , 1º Texto
1st Tone , 1ª Tonalidade
1st Variance , 1ª Variância
1st X-Coord , 1º Corda X
1st Y-Coord , 1º Cordão em Y
2 Colors , 2 Cores
2 Noise , 2 Ruído
2-Strip Process , Processo de 2 viagens
2.  Plasma Scale , 2. Escala de Plasma
20. Scale to Width , 20. Escala à Largura
21. Scale to Height , 21. Escala à Altura
216 Keypoints , 216 Pontos-chave
22. Correlated Channels , 22. Canais relacionados
22.5 Deg. , 22,5 Deg.
23. Boundary , 23. Limite
24. Warp Channel(s) , 24. Canal(s) de Warp
25. Random Negation , 25. Negação Aleatória
26. Random Negation Channel(s) , 26. Canal(s) de Negação Aleatória
27 Keypoints , 27 Pontos-chave
27. Gamma Offset , 27. Compensação Gama
270 Deg. , 270 graus.
28. Hue Offset , 28. Offset de matizes
29. Normalise , 29. Normalizar
2nd , 2o.
2nd Additional Palette (.Gpl) , 2ª Paleta Adicional (.Gpl)
2nd Color , 2ª Cor
2nd Parameter , 2º Parâmetro
2nd Text , 2º Texto
2nd Tone , 2º Tom
2nd Variance , 2ª Variância
2nd X-Coord , 2º Corda X
2nd Y-Coord , 2º Corda em Y
2x Type , 2x Tipo
2XY Mirror , 2XY Espelho
3 Colors , 3 Cores
3 Mix , 3 Mistura
3.  Plasma Alpha Channel , 3. Canal Alfa de Plasma
30. Minimum Hue , 30. Tonalidade Mínima
31. Maximum Hue , 31. Tonalidade Máxima
32. Minimum Saturation , 32. Saturação mínima
33. Maximum Saturation , 33. Saturação Máxima
34. Minimum Value , 34. Valor mínimo
343 Keypoints , 343 Pontos-chave
35. Maximum Value , 35. Valor máximo
36. Hue Offset , 36. Offset de matizes
37. Saturation Offset , 37. Compensação de Saturação
38. Value Offset , 38. Compensação de valor
3D Blocks , Blocos 3D
3D CLUT (Fast) , 3D CLUT (Rápido)
3D CLUT (Precise) , 3D CLUT (Preciso)
3D Colored Object , Objecto colorido 3D
3D Conversion , Conversão 3D
3D Elevation , Elevação 3D
3D Elevation [Animated] , Elevação 3D [Animado]
3D Extrusion , Extrusão 3D
3D Extrusion [Animated] , Extrusão 3D [Animado]
3D Image Object , Objecto de imagem 3D
3D Image Object [Animated] , Objecto de imagem 3D [Animado]
3D Image Type , Tipo de imagem 3D
3D Lathing , Ripado 3D
3D Metaballs , Metabolls 3D
3D Random Objects , Objectos 3D Aleatórios
3D Reflection , Reflexão 3D
3D Rubber Object , Objecto de Borracha 3D
3D Tiles , Ladrilhos 3D
3D Video Conversion , Conversão de vídeo 3D
3D Waves , Ondas 3D
3rd , 3o.
3rd Color , 3ª Cor
3rd Parameter , 3º Parâmetro
3rd Tone , 3ª Tonalidade
3rd X-Coord , 3º Corda X
3rd Y-Coord , 3º Cordão em Y
4 Colors , 4 Cores
4.  Segmentation [No Alpha Channel] , 4. Segmentação [Sem Canal Alfa]
4096x4096 Layer , 4096x4096 Camada
45 Deg. , 45 graus.
4th , 4
4th Color , 4ª Cor
4th Tone , 4º Tom
5.  Edge Threshold , 5. Limiar de borda
512x512 Layer , 512x512 Camada
5th , 5o.
5th Color , 5ª Cor
5th Tone , 5ª Tonalidade
6.  Smoothness , 6. Alisamento
60's (faded Alt) , Anos 60 (Alt desbotado)
60's (faded) , Anos 60 (desbotado)
64 (Faster) , 64 (Mais rápido)
64 Keypoints , 64 Pontos-chave
67.5 Deg. , 67,5 Deg.
6th , 6o.
6th Color , 6ª Cor
6th Tone , 6º Tom
7.  Blur , 7. Borrão
7th , 7
7th Color , 7ª Cor
7th Tone , 7ª Tonalidade
8 Colors , 8 Cores
8 Keypoints (RGB Corners) , 8 Pontos-chave (RGB Corners)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. Pixelização Quadtree [Sem Canal Alfa]
8th , 8
8th Color , 8ª Cor
8th Tone , 8ª Tonalidade
9.  Quadtree Min Precision , 9. Quadtree Min Precisão
90 Deg. , 90 graus.
9th , 9o.
9th Color , 9ª Cor
[Cyan]MYK , [Ciano]MYK
A Lot of Cyan , Um monte de Cyan
A Lot of Key , Uma grande quantidade de chaves
A Lot of Magenta , Um monte de Magenta
A Lot of Yellow , Um monte de amarelo
A-Color Factor , Factor A-Cor
A-Color Shift , Mudança de cor A-Color
A-Color Smoothness , A-Color Suavidade
A-Component , A-Componente
A4 / 100 PPI (Recommended) , A4 / 100 PPI (Recomendado)
About G'MIC , Sobre a G'MIC
Absolute Brightness , Brilho Absoluto
Absolute Value , Valor Absoluto
Abstraction , Abstracção
Acceleration , Aceleração
Achromatomaly , Acromatomalia
Action , Acção
Action #1 , Acção #1
Action #10 , Acção #10
Action #11 , Acção #11
Action #12 , Acção #12
Action #13 , Acção #13
Action #14 , Acção #14
Action #15 , Acção #15
Action #16 , Acção #16
Action #17 , Acção #17
Action #18 , Acção #18
Action #19 , Acção #19
Action #2 , Acção #2
Action #20 , Acção #20
Action #21 , Acção #21
Action #22 , Acção #22
Action #23 , Acção #23
Action #24 , Acção #24
Action #3 , Acção #3
Action #4 , Acção #4
Action #5 , Acção #5
Action #6 , Acção #6
Action #7 , Acção #7
Action #8 , Acção #8
Action #9 , Acção #9
Action Magenta 01 , Acção Magenta 01
Action Red 01 , Acção Vermelho 01
Activate 'Pencil Smoother' , Activar 'Lápis mais liso'.
Activate Color Enhancement , Activar o melhoramento da cor
Activate Colors Geometric Shapes , Activar as cores Formas Geométricas
Activate Custom Filter , Activar filtro personalizado
Activate Lizards , Activar Lagartos
Activate Mirror , Activar o Espelho
Activate Pink Elephants , Activar Elefantes Cor-de-Rosa
Activate Second Direction , Activar a segunda direcção
Activate Shakes , Activar tremores
Activate Slice 1 , Activar a fatia 1
Activate Slice 2 , Activar a fatia 2
Activate Slice 3 , Activar a fatia 3
Activate Slice 4 , Activar a fatia 4
Adaptive , Adaptativo
Add , Acrescentar
Add 1px Outline , Adicionar 1px Esboço
Add Alpha Channels to Detail Scale Layers , Adicionar Canais Alfa a Camadas de Escala Detalhadas
Add as a New Layer , Adicionar como uma nova camada
Add Chalk Highlights , Acrescentar Destaques em Giz
Add Color Background , Adicionar Fundo de Cor
Add Comment Area in HTML Page , Adicionar Área de Comentários na Página HTML
Add Grain , Adicionar grão
Add Image Label , Adicionar etiqueta de imagem
Add Painter's Touch , Adicionar Toque de Pintor
Add User-Defined Constraints (Interactive) , Adicionar Restrições Definidas pelo Utilizador (Interactivo)
Additional Duplicates Count , Contagem adicional de duplicados
Additional Outline , Esboço adicional
Additive , Aditivo
Adjust Background Reconstruction , Ajustar Reconstrução de Fundo
Adventure 1453 , Aventura 1453
Aggressive Highlights Recovery 5 , Destaques Agressivos Recuperação 5
Algorithm , Algoritmo
Alien Green , Verde Alienígena
Align Image Streams , Alinhar os fluxos de imagens
Align Layers , Alinhar camadas
Aligned , Alinhado
Alignment Type , Tipo de Alinhamento
All , Todos
All 45° Rotations , Todos os 45° Rotações
All 90° Rotations , Todos os 90° Rotações
All [Collage] , Todos [Colagem]
All but Reference Color , Todos menos Cor de Referência
All Layers and Masks , Todas as camadas e máscaras
All Tones , Todos os Tons
All XY-Flips , Todos os XY-Flips
Allow Angle , Permitir o ângulo
Allow Outer Blending , Permitir mistura externa
Allow Self Intersections , Permitir Auto-intersecções
Alpha , Alfa
Alpha Channel , Canal Alfa
Alpha Mode , Modo Alfa
Also Match Gradients , Igualar Gradientes
Ambient (%) , Ambiente (%)
Ambient Lightness , Ligeireza ambiente
Amount , Montante
Amplitude / Angle , Amplitude / Ângulo
Anaglypgh Green/magenta Optimized , Anaglypgh Verde/magenta Optimizado
Anaglyph Blue/yellow , Anaglyph azul/amarelo
Anaglyph Blue/yellow Optimized , Anaglyph Blue/yellow Optimizado
Anaglyph Glasses Adjustment , Ajuste dos Óculos Anaglifos
Anaglyph Green/magenta , Anaglyph Verde/magenta
Anaglyph Green/magenta Optimized , Anaglyph Verde/magenta Optimizado
Anaglyph Reconstruction , Reconstrução Anaglyph Reconstruction
Anaglyph Red/cyan Optimized , Anaglyph Red/cyan Optimizado
Anaglyph: Red/Cyan , Anáglifo: Vermelho/ciano
AnalogFX - Anno 1870 Color , AnalogFX - Anno 1870 Cor
AnalogFX - Old Style II , AnalogFX - AnalogFX - Old Style II
AnalogFX - Old Style III , AnalogFX - Antigo Estilo III
AnalogFX - Sepia Color , AnalogFX - Cor Sépia
Analysis Scale , Escala de análise
Analysis Smoothness , Suavidade da análise
And , E
Angle , Ângulo
Angle (%) , Ângulo (%)
Angle (deg) , Ângulo (deg)
Angle (deg.) , Ângulo (deg.)
Angle / Size , Ângulo / Tamanho
Angle Cut , Corte angular
Angle Dispersion , Dispersão angular
Angle Image Contour , Contorno de imagem angular
Angle of Disturbance Surface , Ângulo de Superfície de Perturbação
Angle of Main Nebulous Surface , Ângulo da Superfície Nebulosa Principal
Angle Range , Alcance angular
Angle Range (deg.) , Alcance angular (deg.)
Angle Tilt , Inclinação angular
