<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
<b>Artistic</b> , <b>Artystyczny</b>
<b>Black & White</b> , <b>Black & White</b>
<b>Colors</b> , <b>Kolory</b>
<b>Contours</b> , <b>Kontury</b>
<b>Deformations</b> , <b>Deformacje</b>
<b>Degradations</b> , <b>Degradacja</b>
<b>Details</b> , <b>Szczegóły</b>
<b>Testing</b> , <b>Testowanie</b>
<b>Frames</b> , <b>Ramki</b>
<b>Frequencies</b> , <b>Częstotliwości</b>
<b>Layers</b> , <b>Warstwy</b>
<b>Lights & Shadows</b> , <b>Światła i cienie</b>
<b>Patterns</b> , <b>Wzory</b>
<b>Rendering</b> , <b>Rendering</b>
<b>Repair</b> , <b>Naprawa</b>
<b>Sequences</b> , <b>Sekwencje</b>
<b>Silhouettes</b> , <b>Sylwetki</b>
<b>Icons</b> , <b>Ikony</b>
<b>Misc</b> , <b>Misc</b>
<b>Nature</b> , <b>Przyroda</b>
<b>Others</b> , <b>Inni</b>
<b>Stereoscopic 3D</b> , <b>Stereoskopowy 3D</b>
*Vivid Edges* , *Widome krawędzie*
- NO - , - NIE -
-1. Value Action , -1. Wartość Działania
-2. Overall Channel(s) , -2. Ogólny kanał(y)
-3. Normalisation Channel(s) , -3. Kanał (kanały) normalizacji
-4. Normalise , -4. Normalizacja .
0.  Recompute , 0. Obliczyć .
1 Levels , 1 Poziomy
1.  Plasma Texture [Discards Input Image] , 1. Tekstura plazmowa [Obraz wejściowy odrzucany]
10.  Quadtree Max Precision , 10. Quadtree Max Precision
10th , 10.
10th Color , 10. kolor
11.  Quadtree Min Homogeneity , 11. Quadtree Min Homogeneity
11th , 11.
12 Colors , 12 kolorów
12 Grays , 12 Szarości
12.  Quadtree Max Homogeneity , 12. Quadtree Max Homogeneity
125 Keypoints , 125 Punkty orientacyjne
12th , 12.
13. Noise Type , 13. Rodzaj hałasu
13th , 13.
14. Minimum Noise , 14. Minimalny hałas
14th , 14.
15. Maximum Noise , 15. Maksymalny hałas
15th , 15.
16 Colors , 16 Kolory
16 Grays , 16 Szarości
16. Noise Channel(s) , 16. Kanał(y) Hałasowy(e)
16th , 16.
17. Warp Iterations , 17. Iteracje osnowy
18. Warp Intensity , 18. Osnowa Intensywność
180 Deg. , 180 stopni.
