<b>Arrays & Tiles</b> , <b>Matrices y azulejos</b>
<b>Artistic</b> , <b>Artístico</b>
<b>Black & White</b> , <b>Blanco y negro</b>
<b>Colors</b> , <b>Colores</b>
<b>Contours</b> , <b>Contornos</b>
<b>Deformations</b> , <b>Deformaciones</b>
<b>Degradations</b> , <b>Degradaciones</b>
<b>Details</b> , <b>Detalles</b>
<b>Testing</b> , <b>Prueba</b>
<b>Frames</b> , <b>Marcos</b>
<b>Frequencies</b> , <b>Frecuencias</b>
<b>Layers</b> , <b>Capas</b>
<b>Lights & Shadows</b> , <b>Luces y sombras</b>
<b>Patterns</b> , <b>Patrones</b>
<b>Rendering</b> , <b>Renderización</b>
<b>Repair</b> , <b>Reparación</b>
<b>Sequences</b> , <b>Secuencias</b>
<b>Silhouettes</b> , <b>Siluetas</b>
<b>Icons</b> , <b>Iconos</b>
<b>Misc</b> , <b>Misc</b>
<b>Nature</b> , <b>Naturaleza</b>
<b>Others</b> , <b>Otros</b>
<b>Stereoscopic 3D</b> , <b>3D estereoscópico</b>
&#9829; Support Us ! &#9829; , ¡ Apóyanos !
*Colors Doping , *Colores Dopaje
*Colors Doping* , *Colores Dopaje*
*Comix Colors* , *Combinación de colores*
*Dark Edges* , *Bordes oscuros*
*Dark Screen* , *Pantalla oscura*
*Graphix Colors , *Colores del gráfix
*Vivid Edges* , *Bordes vivos*
*Vivid Screen* , *Pantalla viva*
+180 Deg. , +180 grados.
+90 Deg. , +90 grados.
-1. Value Action , -1. Valor Acción
-2. Overall Channel(s) , -2. Canal(es) general(es)
-3. Normalisation Channel(s) , -3. Canal(es) de normalización
-4. Normalise , -4. Normaliza
-90 Deg. , -90 grados.
.Bmp , ...Bmp.
.Png , ...Png.
0.  Recompute , 0. Recompute
1 Levels , 1 Niveles
1.  Plasma Texture [Discards Input Image] , 1. Textura de plasma [Descarta la imagen de entrada]
10.  Quadtree Max Precision , 10. Quadtree Max Precision
10th , 10º.
10th Color , 10º Color
11.  Quadtree Min Homogeneity , 11. Homogeneidad de Quadtree Min
11th , 11º.
12 Colors , 12 colores
12 Grays , 12 Grises
12.  Quadtree Max Homogeneity , 12. Homogeneidad de Quadtree Max
125 Keypoints , 125 puntos clave
12th , 12º.
13. Noise Type , 13. Tipo de ruido
13th , 13º.
14. Minimum Noise , 14. Ruido mínimo
14th , 14º.
15. Maximum Noise , 15. Ruido máximo
15th , 15º.
16 Colors , 16 Colores
16 Grays , 16 Grises
16. Noise Channel(s) , 16. Canal(es) de ruido
16th , 16º.
17. Warp Iterations , 17. Iteraciones de la urdimbre
18. Warp Intensity , 18. Intensidad de la urdimbre
180 Deg. , 180 grados.
19. Warp Offset , 19. Compensación de la urdimbre
1st , 1er.
1st Additional Palette (.Gpl) , 1ª Paleta adicional (.Gpl)
1st Color , 1er Color
1st Parameter , 1er parámetro
1st Text , 1er Texto
1st Tone , 1er Tono
1st Variance , 1ª Variación
1st X-Coord , 1er X-Coord
1st Y-Coord , 1a Y-Coordinación
2 Colors , 2 colores
2 Grays , 2 Grises
2 Noise , 2 Ruido
2-Strip Process , Proceso de 2 tiras
2.  Plasma Scale , 2. Escala de plasma
20. Scale to Width , 20. Escala a la anchura
21. Scale to Height , 21. Escala a la altura
216 Keypoints , 216 Puntos clave
22. Correlated Channels , 22. Canales correlacionados
22.5 Deg. , 22,5 grados.
23. Boundary , 23. Límite
24. Warp Channel(s) , 24. Canal(es) de la urdimbre
25. Random Negation , 25. Negación aleatoria
26. Random Negation Channel(s) , 26. Canal(es) de negación aleatoria
27 Keypoints , 27 Puntos clave
27. Gamma Offset , 27. Compensación Gamma
270 Deg. , 270 grados.
28. Hue Offset , 28. Compensación de tonalidad
29. Normalise , 29. Normalización
2nd , 2º.
2nd Additional Palette (.Gpl) , 2ª Paleta adicional (.Gpl)
