<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
<b>Artistic</b> , <b>Künstlerisch</b>
<b>Black & White</b> , <b>Schwarz-Weiß</b>
<b>Colors</b> , <b>Farben</b>
<b>Contours</b> , <b>Konturen</b>
<b>Deformations</b> , <b>Verformungen</b>
<b>Degradations</b> , <b>Degradierungen</b>
<b>Details</b> , <b>Einzelheiten</b>
<b>Testing</b> , <b>Prüfung</b>
<b>Frames</b> , <b>Rahmen</b>
<b>Frequencies</b> , <b>Frequenzen</b>
<b>Layers</b> , <b>Schichten</b>
<b>Lights & Shadows</b> , <b>Lichter & Schatten</b>
<b>Patterns</b> , <b>Muster</b>
<b>Rendering</b> , <b>Rendering</b>
<b>Repair</b> , <b>Reparatur</b>
<b>Sequences</b> , <b>Sequenzen</b>
<b>Silhouettes</b> , <b>Silhouetten</b>
<b>Icons</b> , <b>Ikonen</b>
<b>Misc</b> , <b>Sonstiges</b>
<b>Nature</b> , <b>Natur</b>
<b>Others</b> , <b>Andere</b>
<b>Stereoscopic 3D</b> , <b>Stereoskopisches 3D</b>
&#9829; Support Us ! &#9829; , ♥ Unterstützen Sie uns! ♥
*Colors Doping , *Farben Doping
*Colors Doping* , *Farben Doping*
*Dark Edges* , *Dunkle Ränder*
*Dark Screen* , *Dunkeler Bildschirm*
*Graphix Colors , *Graphix-Farben
*Vivid Edges* , *Leidende Kanten*
*Vivid Screen* , *Lebendiger Bildschirm*
+180 Deg. , +180 Grad.
- NO - , - NEIN -
-1. Value Action , -1. Wert Aktion
-2. Overall Channel(s) , -2. Kanal(e) insgesamt
-3. Normalisation Channel(s) , -3. Normalisierung Kanal(e)
-4. Normalise , -4. normalisieren.
0 Deg. , 0 Grad.
0.  Recompute , 0. erneut berechnen
1 Levels , 1 Ebenen
1.  Plasma Texture [Discards Input Image] , 1. Plasma-Textur [Verwirft Eingabebild]
10.  Quadtree Max Precision , 10. Quadtree Max Präzision
10th , 10.
10th Color , 10. Farbe
