<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
<b>Artistic</b> , <b>Художественный</b>
<b>Black & White</b> , <b>Чёрное и белое</b>
<b>Colors</b> , <b>Цвета</b>
<b>Contours</b> , <b>Контуры</b>
<b>Deformations</b> , <b>Деформации</b>
<b>Degradations</b> , <b>Деградации</b>
<b>Details</b> , <b>Подробности</b>
<b>Testing</b> , <b>Тестирование</b>
<b>Frames</b> , <b>Фреймы</b>
<b>Frequencies</b> , <b>Частоты</b>
<b>Layers</b> , <b>Слои</b>
<b>Lights & Shadows</b> , <b>Свет и тени</b>
<b>Patterns</b> , <b>Шаблоны</b>
<b>Rendering</b> , <b>Оказание услуг</b>
<b>Repair</b> , <b>Ремонт</b>
<b>Sequences</b> , <b>Последовательности</b>
<b>Silhouettes</b> , <b>Силуэты</b>
<b>Icons</b> , <b>Иконки</b>
<b>Misc</b> , <b>Ошибка</b>
<b>Nature</b> , <b>Природа</b>
<b>Others</b> , <b>Другие</b>
<b>Stereoscopic 3D</b> , <b>Стереоскопическое 3D</b>
&#9829; Support Us ! &#9829; , ♥ Поддержите нас! ♥
*Colors Doping , *Цветной допинг
*Colors Doping* , *Цветной допинг*
*Comix Colors* , *Комикс Цветов*
*Dark Edges* , *Тёмные края*
*Dark Screen* , *Тёмный экран*
*Graphix Colors , *Графиксные цвета
*Vivid Edges* , *Яркие края*
*Vivid Screen* , *Яркий экран*
+180 Deg. , +180 градусов
+90 Deg. , +90 градусов
- NO - , - НЕТ -
-1. Value Action , -1. Ценностное действие
-2. Overall Channel(s) , -2. Общий канал (ы)
-3. Normalisation Channel(s) , -3. Канал(ы) нормализации
-4. Normalise , -4. Нормализуют
-90 Deg. , -90 градусов
.Png , Пнг
0 Deg. , 0 градусов
0.  Recompute , 0. Вычислить
1 Levels , 1 Уровни
1.  Plasma Texture [Discards Input Image] , 1. Плазменная текстура [Отбрасывает входное изображение].
10.  Quadtree Max Precision , 10. Квадтри Макс Точность
10th , десятый
10th Color , 10-ый цвет
11.  Quadtree Min Homogeneity , 11. Квадтри Мин Гомогенность
11th , 11-й
12 Colors , 12 Цветов
12 Grays , 12 серый
12.  Quadtree Max Homogeneity , 12. Квадтри Макс Однородность
125 Keypoints , 125 Ключевые точки
12th , 12-ый
13. Noise Type , 13. Тип шума
13th , 13-й
14. Minimum Noise , 14. Минимальный шум
14th , 14-я
15. Maximum Noise , 15. Максимальный шум
15th , 15-ый
16 Colors , 16 Цветов
16 Grays , 16 Серый
16. Noise Channel(s) , 16. Шумовой канал (ы)
16th , 16-ый
17. Warp Iterations , 17. Итерации деформации
18. Warp Intensity , 18. Интенсивность искривления
180 Deg. , 180 градусов
19. Warp Offset , 19. Смещение по деформации
1st , 1-ый
1st Additional Palette (.Gpl) , 1-я дополнительная палитра (.Gpl)
1st Color , 1-й цвет
1st Parameter , 1-й параметр
1st Text , 1-й Текст
1st Tone , 1-й Тон
1st Variance , 1-я Вариант
1st X-Coord , 1-й шнур X-Coord
1st Y-Coord , 1-й Y-корд
2 Colors , 2 цвета
2 Grays , 2 серые
2 Noise , 2 Шум
2-Strip Process , 2-полосный процесс
2.  Plasma Scale , 2. Шкала плазмы
20. Scale to Width , 20. Шкала до ширины
21. Scale to Height , 21. Масштаб до высоты
216 Keypoints , 216 Ключевые точки
22. Correlated Channels , 22. Корреспондентские каналы
22.5 Deg. , 22,5 градуса
23. Boundary , 23. Граница
24. Warp Channel(s) , 24. Канал(ы) деформации
25. Random Negation , 25. Случайное отрицание
26. Random Negation Channel(s) , 26. Случайный канал(и) отрицания
27 Keypoints , 27 Ключевые точки
27. Gamma Offset , 27. Гамма-смещение
270 Deg. , 270 градусов
28. Hue Offset , 28. смещение оттенка
29. Normalise , 29. Нормализовать
2nd , 2-ой
2nd Additional Palette (.Gpl) , 2-я дополнительная палитра (.Gpl)
2nd Color , 2-й цвет
2nd Parameter , 2-й параметр
2nd Text , 2-й Текст
2nd Tone , 2-й Тон
2nd Variance , 2-я Вариант
2nd X-Coord , 2-й X-корд
2nd Y-Coord , 2-й Y-корд
2x Type , 2х Тип
2XY Mirror , 2XY Зеркало
2xy-Axes , 2xy-топоры
3 Colors , 3 Цвета
3 Grays , 3 серый
3 Mix , 3 Смешивание
3.  Plasma Alpha Channel , 3. Плазменный Альфа-канал
30. Minimum Hue , 30. Минимальный оттенок
31. Maximum Hue , 31. Максимальный оттенок
32. Minimum Saturation , 32. Минимальное насыщение
33. Maximum Saturation , 33. Максимальное насыщение
34. Minimum Value , 34. Минимальное значение
343 Keypoints , 343 Ключевые точки
35. Maximum Value , 35. Максимальное значение
36. Hue Offset , 36. смещение оттенка
37. Saturation Offset , 37. Смещение по насыщению
38. Value Offset , 38. Смещение значения
3D Blocks , 3D-блоки
3D CLUT (Fast) , 3D CLUT (Быстро)
3D CLUT (Precise) , 3D CLUT (Точно)
3D Colored Object , 3D-цветной объект
3D Conversion , 3D-преобразование
3D Elevation , 3D-Возвышение
3D Extrusion , 3D-экструзия
3D Extrusion [Animated] , 3D-экструзия [анимированная]
3D Image Object , 3D-изображение Объект
3D Image Object [Animated] , 3D-изображение Объект [Анимированный]
3D Image Type , Тип 3D изображения
3D Lathing , 3D-обработка
3D Metaballs , 3D Металлы
3D Random Objects , Случайные объекты 3D
3D Reflection , 3D-отражение
3D Rubber Object , 3D-резиновый объект
3D Starfield , 3D Звёздное поле
3D Text Pointcloud , 3D Облако Текста
3D Tiles , 3D плитка
3D Video Conversion , Преобразование 3D видео
3D Waves , 3D-волны
3rd , 3-ий
3rd Color , 3-й цвет
3rd Parameter , 3-й параметр
3rd Tone , 3-й Тон
3rd X-Coord , 3-й X-корд
3rd Y-Coord , 3-й Y-корд
4 Colors , 4 цвета
4 Grays , 4 серые
4.  Segmentation [No Alpha Channel] , 4. Сегментация [No Alpha Channel]
4096x4096 Layer , 4096x4096 Слой
45 Deg. , 45 градусов
4th , 4-ый
4th Color , 4-й цвет
4th Tone , 4-й Тон
5.  Edge Threshold , 5. Порог Кромки
512x512 Layer , 512x512 Слой
5th , 5-ый
5th Color , 5-й цвет
5th Tone , 5-й Тон
6.  Smoothness , 6. Гладкость
60's (faded Alt) , 60-е годы (выцветший Альт)
60's (faded) , 60-е годы (потускнело)
64 (Faster) , 64 (Быстрее)
64 Keypoints , 64 Ключевые точки
67.5 Deg. , 67,5 градусов
6th , шестой
6th Color , 6-й цвет
