<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
<b>Artistic</b> , <b>Artistiek</b>
<b>Black & White</b> , <b>Zwart-wit</b>
<b>Colors</b> , <b>Kleuren</b>
<b>Contours</b> , <b>Contouren</b>
<b>Deformations</b> , <b>Vervormingen</b>
<b>Degradations</b> , <b>Verslechteringen</b>
<b>Details</b> , <b>Details</b>
<b>Testing</b> , <b>Het testen van</b>
<b>Frames</b> , <b>Frames</b>
<b>Frequencies</b> , <b>Frequenties</b>
<b>Layers</b> , <b>Lagen</b>
<b>Lights & Shadows</b> , <b>Licht en schaduw</b>
<b>Patterns</b> , <b>Patronen</b>
<b>Rendering</b> , <b>Rendering</b>
<b>Repair</b> , <b>Reparatie</b>
<b>Sequences</b> , <b>Volgorde</b>
<b>Silhouettes</b> , <b>Silhouetten</b>
<b>Icons</b> , <b>Pictogrammen</b>
<b>Misc</b> , <b>Overige</b>
<b>Nature</b> , <b>Natuur</b>
<b>Others</b> , <b>Andere</b>
<b>Stereoscopic 3D</b> , <b>Stereoscopisch 3D</b>
&#9829; Support Us ! &#9829; , ♥ Steun ons ! ♥
*Colors Doping , *Kleuren Doping
*Colors Doping* , *Kleuren Doping*
*Comix Colors* , *Comix Kleuren*
*Dark Edges* , *Donkere randen*
*Dark Screen* , *Donker scherm*
*Graphix Colors , *Graphix Kleuren
*Vivid Edges* , *Vividuele randen*
*Vivid Screen* , *Vividueel scherm*
- NO - , - NEE -
-1. Value Action , -1. Waarde Actie
-2. Overall Channel(s) , -2. Totale kanaal(en)
-3. Normalisation Channel(s) , -3. Normalisatiekanaal(en)
-4. Normalise , -4. Normaliseer
0.  Recompute , 0. Recomputeer
1 Levels , 1 Niveaus
1.  Plasma Texture [Discards Input Image] , 1. 1. Plasmastructuur [Invoerafbeelding weggooien]
10.  Quadtree Max Precision , 10. 10. Quadtree Max Precisie
10th , 10e
10th Color , 10e kleur
11.  Quadtree Min Homogeneity , 11. 11. Quadtree Min. Homogeniteit
11th , 11e
12 Colors , 12 Kleuren
12 Grays , 12 Grijzen
12.  Quadtree Max Homogeneity , 12. 12. Quadtree Max Homogeniteit
125 Keypoints , 125 Kernpunten
12th , 12e
13. Noise Type , 13. 13. Geluidstype
13th , 13e
14. Minimum Noise , 14. 14. Minimaal geluid
14th , 14e
15. Maximum Noise , 15. 15. Maximaal geluid
15th , 15e
16 Colors , 16 Kleuren
16 Grays , 16 Grijzen
16. Noise Channel(s) , 16. 16. Geluidskanaal(en)
16th , 16e
17. Warp Iterations , 17. 17. Warp Iteraties
18. Warp Intensity , 18. 18. Warpintensiteit
19. Warp Offset , 19. 19. Scheefstandcompensatie
1st , 1e
1st Additional Palette (.Gpl) , 1ste Extra Palet (.Gpl)
1st Color , 1ste kleur
1st Parameter , 1e Parameter
1st Text , 1e tekst
1st Tone , 1e Toon
1st Variance , 1ste variant
1st X-Coord , 1e X-Coord
1st Y-Coord , 1e Y-Coord
2 Colors , 2 Kleuren
2 Grays , 2 Grijzen
2 Noise , 2 Geluid
2-Strip Process , 2-strooksproces
2.  Plasma Scale , 2. 2. Plasmaschaal
20. Scale to Width , 20. 20. Schaal naar Breedte
21. Scale to Height , 21. 21. Schaal naar hoogte
216 Keypoints , 216 Kernpunten
22. Correlated Channels , 22. 22. Correlationele kanalen
22.5 Deg. , 22,5 Deg.
