<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
<b>Artistic</b> , <b>Artistico</b>
<b>Black & White</b> , <b>Bianco e nero</b>
<b>Colors</b> , <b>Colori</b>
<b>Contours</b> , <b>Contorni</b>
<b>Deformations</b> , <b>Deformazioni</b>
<b>Degradations</b> , <b>Degradazioni</b>
<b>Details</b> , <b>Dettagli</b>
<b>Testing</b> , <b>Test</b>
<b>Frames</b> , <b>Cornici</b>
<b>Frequencies</b> , <b>Frequenze</b>
<b>Layers</b> , <b>Strati</b>
<b>Lights & Shadows</b> , <b>Luci e ombre</b>
<b>Patterns</b> , <b>Modelli</b>
<b>Rendering</b> , <b>Rendering</b>
<b>Repair</b> , <b>Riparazione</b>
<b>Sequences</b> , <b>Sequenze</b>
<b>Silhouettes</b> , <b>Silhouette</b>
<b>Icons</b> , <b>Icone</b>
<b>Misc</b> , <b>Varie</b>
<b>Nature</b> , <b>Natura</b>
<b>Others</b> , <b>Altri</b>
<b>Stereoscopic 3D</b> , <b>3D stereoscopico</b>
&#9829; Support Us ! &#9829; , ♥ Sostienici! ♥
*Colors Doping , *Colori Doping
*Colors Doping* , *Colori Doping*
*Comix Colors* , *Comix Colori*
*Dark Edges* , *Bordi scuri
*Dark Screen* , *Schermo oscuro*
*Graphix Colors , *Colori Graphix
*Vivid Edges* , *Bordi vivi
*Vivid Screen* , *Schermo vivido*
+180 Deg. , +180 gradi.
+90 Deg. , +90 gradi.
-1. Value Action , -1. Valore Azione
-2. Overall Channel(s) , -2. Canale(i) complessivo(i)
-3. Normalisation Channel(s) , -3. Canale(i) di normalizzazione
-4. Normalise , -4. Normalizzare
-90 Deg. , -90 gradi.
0.  Recompute , 0. Ricalcolare
1 Levels , 1 Livelli
1.  Plasma Texture [Discards Input Image] , 1. 2. Texture del plasma [Scarta l'immagine in ingresso].
10.  Quadtree Max Precision , 10. 11. Quadrilatero di massima precisione
10th , 10
10th Color , 10° Colore
11.  Quadtree Min Homogeneity , 11. 12. Omogeneità minima dei quadrupedi
11th , 11
12 Colors , 12 colori
12 Grays , 12 Grigi
12.  Quadtree Max Homogeneity , 12. 12. Omogeneità massima del quadrupede
125 Keypoints , 125 punti chiave
12th , 12
13. Noise Type , 13. 13. Tipo di rumore
13th , XIII
14. Minimum Noise , 14. 14. Rumore minimo
14th , 14
15. Maximum Noise , 15. 15. Rumore massimo
15th , 15
16 Colors , 16 colori
16 Grays , 16 Grigi
16. Noise Channel(s) , 16. 17. Canale(i) del rumore
16th , 16°.
17. Warp Iterations , 17. Iterazioni d'ordito
18. Warp Intensity , 18. 18. Intensità di curvatura
180 Deg. , 180 gradi.
19. Warp Offset , 19. Offset di ordito
1st , 1º
1st Additional Palette (.Gpl) , 1° Paletta aggiuntiva (.Gpl)
1st Color , 1° Colore
1st Parameter , 1° parametro
1st Text , 1° Testo
1st Tone , 1° Tono
1st Variance , 1ª variante
1st X-Coord , 1° X-Coord
1st Y-Coord , 1a Y-Coord
