<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
<b>Artistic</b> , <b>芸術的な</b>
<b>Black & White</b> , <b>ブラック＆ホワイト</b>
<b>Colors</b> , <b>色</b>
<b>Contours</b> , <b>輪郭</b>
<b>Deformations</b> , <b>変形</b>
<b>Degradations</b> , <b>分解</b>
<b>Details</b> , <b>詳細</b>
<b>Testing</b> , <b>テスト</b>
<b>Frames</b> , <b>フレーム</b>
<b>Frequencies</b> , <b>周波数</b>
<b>Layers</b> , <b>レイヤー</b>
<b>Lights & Shadows</b> , <b>光と影</b>
<b>Patterns</b> , <b>パターン</b>
<b>Rendering</b> , <b>レンダリング</b>
<b>Repair</b> , <b>補修</b>
<b>シーケンス</b> , <b>Séquences</b>
<b>Silhouettes</b> , <b>シルエット</b>
<b>Icons</b> , <b>アイコン</b>
<b>Misc</b> , <b>その他</b>
<b>Nature</b> , <b>自然</b>
<b>Others</b> , <b>その他</b>
<b>Stereoscopic 3D</b> , <b>立体視3D</b>
&#9829; Support Us ! &#9829; , サポートしてください！ &#9829.
*Colors Doping , *カラーズドーピング
*Colors Doping* , *カラーズドーピング★★★★★★★★★★★★★★★★★★★★★★★★☆彡
*Comix Colors* , *コミックスカラーズ
*Dark Edges* , *ダークエッジ*
*Dark Screen* , *ダークスクリーン*
*Graphix Colors , *グラフィックスカラーズ
*Vivid Edges* , *ビビッドエッジ
*Vivid Screen* , *ビビッドスクリーン
+180 Deg. , +180度
+90 Deg. , +90度
- NO - , - 否
-1. Value Action , -1.値 アクション
-2. Overall Channel(s) , -2.全体のチャンネル
-3. Normalisation Channel(s) , -3.正規化チャンネル
-4. Normalise , -4.ノーマライズ
-90 Deg. , -90度
.Bmp , ビーエムピー
.Png , ピーエヌジー
0 Deg. , 0度
0.  Recompute , 0.再計算
1 Levels , 1 レベル
1.  Plasma Texture [Discards Input Image] , 1.プラズマテクスチャ [入力画像を破棄する]
10.  Quadtree Max Precision , 10.Quadtreeの最大の精度
10th , 十番
10th Color , 10色目
11.  Quadtree Min Homogeneity , 11.クワッドツリーの最小均質性
11th , 十一日
12 Colors , 12色
12 Grays , 12 グレイズ
12.  Quadtree Max Homogeneity , 12.Quadtreeの最大均質性
125 Keypoints , 125のキーポイント
128px , 一二八px
12th , 十二日
13. Noise Type , 13.ノイズの種類
13th , 十三日
14. Minimum Noise , 14.最小ノイズ
14th , 十四日
15. Maximum Noise , 15.最大ノイズ
15th , 十五日
16 Colors , 16色
16 Grays , 16 グレイズ
16. Noise Channel(s) , 16.ノイズチャンネル
16th , 十六日
17. Warp Iterations , 17.ワープ反復
18. Warp Intensity , 18.ワープ強度
180 Deg. , 180度
19. Warp Offset , 19.ワープオフセット
1st , 第一
1st Additional Palette (.Gpl) , 第1回追加パレット(.Gpl)
1st Color , 1色目
1st Parameter , 第1パラメータ
1st Text , 第1テキスト
1st Tone , 第一音
1st Variance , 第1変動
1st Y-Coord , 第1回Yコード
2 Colors , 2色
2 Grays , 2 グレイズ
2 Noise , 2 ノイズ
2-Strip Process , 2-ストリッププロセス
2.  Plasma Scale , 2.プラズマスケール
20. Scale to Width , 20.幅へのスケール
21. Scale to Height , 21.高さまでのスケール
216 Keypoints , 216 キーポイント
22. Correlated Channels , 22.関連するチャンネル
22.5 Deg. , 22.5度
23. Boundary , 23.境界線
24. Warp Channel(s) , 24.ワープチャンネル
25. Random Negation , 25.ランダム否定
256px , 二百五十六平方センチメートル
26. Random Negation Channel(s) , 26.ランダム否定チャンネル
27 Keypoints , 27のポイント
27. Gamma Offset , 27.ガンマオフセット
270 Deg. , 270度
28. Hue Offset , 28.色相オフセット
29. Normalise , 29.ノーマライズ
2nd , 第二
2nd Additional Palette (.Gpl) , 第2回追加パレット(.Gpl)
2nd Color , 2ndカラー
2nd Parameter , 第2パラメータ
2nd Text , 第2テキスト
2nd Tone , セカンドトーン
2nd Variance , 第2回目の変動
2nd Y-Coord , 第2回Yコード
2x Type , 2xタイプ
2XY Mirror , 2XYミラー
2xy-Axes , 二軸
3 Colors , 3色
3 Grays , 3 グレイズ
3 Mix , 3 ミックス
3.  Plasma Alpha Channel , 3.プラズマアルファチャンネル
30. Minimum Hue , 30.最小色相
31. Maximum Hue , 31.最大色相
32. Minimum Saturation , 32.最小飽和度
32px , 三十二倍
33. Maximum Saturation , 33.最大飽和度
34. Minimum Value , 34.最小値
343 Keypoints , 343 キーポイント
35. Maximum Value , 35.最大値
36. Hue Offset , 36.色相オフセット
37. Saturation Offset , 37.彩度オフセット
38. Value Offset , 38.値オフセット
3D Blocks , 3Dブロック
3D CLUT (Fast) , 3D CLUT（高速
3D CLUT (Precise) , 3D CLUT (精密)
3D Colored Object , 3Dカラーオブジェクト
3D Conversion , 3D変換
3D Elevation , 3Dエレベーション
3D Elevation [Animated] , 3Dエレベーション [アニメーション]
3D Extrusion , 3D押出
3D Extrusion [Animated] , 3D押出し【アニメ化
3D Image Object , 3D画像オブジェクト
3D Image Object [Animated] , 3Dイメージオブジェクト[アニメーション]
3D Image Type , 3D画像タイプ
3D Lathing , 3D旋盤加工
3D Metaballs , 3Dメタボール
3D Random Objects , 3Dランダムオブジェクト
3D Reflection , 3D反射
3D Rubber Object , 3Dラバーオブジェクト
3D Starfield , 3Dスターフィールド
3D Text Pointcloud , 3Dテキストポイントクラウド
3D Tiles , 3Dタイル
3D Video Conversion , 3D動画変換
3D Waves , 3次元波
3rd , 第三
3rd Color , 3色目
3rd Parameter , 第3パラメータ
3rd Tone , サードトーン
3rd X-Coord , 第3回エックスコード
3rd Y-Coord , 第3回Yコード
4 Colors , 4色
4 Grays , 4 グレイズ
4.  Segmentation [No Alpha Channel] , 4.セグメンテーション【アルファチャンネルなし
4096x4096 Layer , 4096x4096 レイヤ
45 Deg. , 45度
4th , 第四回
4th Color , 4色目
4th Tone , 第四音
5.  Edge Threshold , 5.エッジしきい値
512x512 Layer , 512x512層
5th , 第五
5th Color , 第5色
5th Tone , 五調
6.  Smoothness , 6.6.滑らかさ
60's (faded Alt) , 60年代
60's (faded) , 六十年代
64 (Faster) , 64 (高速)
64 Keypoints , 64のキーポイント
64px , 六十四px
67.5 Deg. , 67.5度
6th , 第六
6th Color , 第6色
6th Tone , 六調
7.  Blur , 7.ぼかし
7th , 七
7th Color , 七色
7th Tone , 七音
8 Colors , 8色
8 Grays , 8 グレイズ
8 Keypoints (RGB Corners) , 8つのキーポイント（RGBコーナー
8.  Quadtree Pixelisation [No Alpha Channel] , 8.クワッドツリーピクセル化 [アルファチャンネルなし]
8px , 八px
8th , 八
8th Color , 8色目
8th Tone , はちと
9.  Quadtree Min Precision , 9.Quadtreeの最小精度
90 Deg. , 90度
9th , 九日
9th Color , 9色目
[Cyan]MYK , シアン]MYK
