Light , Légère , Comic Book
None , Aucune , Comic Book
For edges: , Pour les bords :
Line Strength , Dose de lignes , Comic Book
For colors: , Pour les couleurs :
Colors to Black or White , Transformer en noir et blanc , Comic Book
<b>Faves</b> , <b>Favoris</b>
<i>About</i> , <i>A propos</i>
<b>Arrays & Tiles</b> , <b>Tableaux & tuiles</b>
<b>Artistic</b> , <b>Artistique</b>
<b>Black & White</b> , <b>Noir & blanc</b>
<b>Colors</b> , <b>Couleurs</b>
<b>Deformations</b> , <b>Déformations</b>
<b>Degradations</b> , <b>Dégradations</b>
<b>Details</b> , <b>Détails</b>
<b>Frames</b> , <b>Cadres</b>
<b>Frequencies</b> , <b>Fréquences</b>
<b>Layers</b> , <b>Calques</b>
<b>Lights & Shadows</b> , <b>Ombres & lumières</b>
<b>Patterns</b> , <b>Motifs</b>
<b>Rendering</b> , <b>Rendu</b>
<b>Repair</b> , <b>Réparation</b>
<b>Sequences</b> , <b>Séquences</b>
<b>Stereoscopic 3D</b> , <b>Stéréoscopie 3D</b>
<b>Testing</b> , <b>En test</b>
<b>Various</b> , <b>Divers</b>
Preview Type , Type de prévisualisation
Backward Horizontal , Séparation horizontale arrière
Forward Vertical , Séparation verticale avant
Backward Vertical , Séparation verticale arrière
Full , Entier
Forward Horizontal , Séparation horizontale avant
Duplicate Right , Copie à droite
Duplicate Left , Copie à gauche
Duplicate Bottom , Copie en bas
Duplicate Top , Copie en haut
Duplicate Vertical , Copie verticale
Duplicate Horizontal , Copie horizontale
Checkered Inverse , En damier inversé
Checkered , En damier
Preview Split , Découpage de la prévisualisation
Smoothness , Régularité
None , Aucun
Lab [ab-Chrominances] , Lab [Chrominances-ab]
Lab [b-Chrominance] , Lab [Chrominance-b]
Lab [a-Chrominance] , Lab [Chrominance-a]
Lch [h-Chrominance] , Lch [Chrominance-h]
Lch [c-Chrominance] , Lch [Chrominance-c]
Lch [ch-Chrominances] , Lch [Chrominance-ch]
All , Tous
Channel(s) , Canaux
YCbCr [Blue-Red Chrominances] , YCbCr [Chrominances bleu-rouge]
YCbCr [Blue Chrominance] , YCbCr [Chrominance bleue]
Linear RGB [All] , RVB Linéaire [Tous]
Linear RGB [Blue] , RVB Linéaire [Bleu]
Linear RGB [Green] , RVB Linéaire [Vert]
Linear RGB [Red] , RVB Linéaire [Rouge]
RGB [All] , RVB [Tous]
RGB [Blue] , RVB [Bleu]
RGB [Red] , RVB [Rouge]
RGB [Green] , RVB [Vert]
CMYK [Magenta] , CMJN [Magenta]
CMYK [Key] , CMJN [Noir]
CMYK [Cyan] , CMJN [Cyan]
HSL [Lightness] , HSL [Luminosité]
CMYK [Yellow] , CMJN [Jaune]
Lab [Lightness] , Lab [Luminosité]
HSI [Intensity] , HSI [Intensité]
HSV [Value] , HSV [Valeur]
YCbCr [Green Chrominance] , YCbCr [Chrominance verte]
YCbCr [Red Chrominance] , YCbCr [Chrominance rouge]
HSV [Hue] , HSV [Teinte]
RGBA [All] , RGBA [Tous]
RYB [Yellow] , RJB [Jaune]
RYB [Blue] , RJB [Bleu]
RYB [All] , RJB [Tous]
RYB [Red] , RJB [Rouge]
Color , Couleur
Radius , Rayon
Iterations , Itérations
Preset , Préréglage
Normalize , Normalise
Cut , Coupe
Opacity , Opacité
Mirror , Mirroir
All [Collage] , Tous [Collage]
Density , Densité
Size , Taille
Threshold , Seuil
Antialiasing , Anticrénelage
Nearest , Plus proche voisin
Periodic , Périodique
Boundary , Bord
RGB , RVB
Lock Source , Vérouille la source
Replace Source by Target , Replace la source par la cible
Value Action , Action sur la valeur
Scale , Échelle
Sharpness , Netteté
Parallel Processing , Calcul parallèle
Center (%) , Centre (%)
Size (%) , Taille (%)
Linear , Linéaire
Lightness , Luminosité
Random , Hasard
Hue , Teinte
Value , Valeur
Gaussian , Gaussien
Thickness , Épaisseur
X-Angle , Angle-X
Contrast (%) , Contraste (%)
Y-Angle , Angle-Y
Darken , Plus sombre
CMYK [magenta] , CMJN [magenta]
CMYK [key] , CMJN [noir]
CMYK [yellow] , CMJN [jaune]
HSV [value] , HSV [valeur]
HSI [intensity] , HSI [intensité]
HSV [hue] , HSV [teinte]
HSL [lightness] , HSL [luminosité]
Brightness (%) , Luminosité
CMYK [cyan] , CMJN [cyan]
YCbCr [green Chrominance] , YCbCr [Chrominance verte]
YCbCr [red Chrominance] , YCbCr [Chrominance rouge]
Resolution , Résolution
Lab [lightness] , Lab [Luminosité]
Multiply , Multiplication
Linear RGB [red] , RVB Linéaire [rouge]
Linear RGB [green] , RVB Linéaire [verte]
Contrast , Contraste
YCbCr [blue-Red Chrominances] , YCbCr [Chrominance bleu-rouge]
Z-Angle , Angle-Z
RGBA [all] , RGBA [tous]
Height , Hauteur
YCbCr [blue Chrominance] , YCbCr [Chrominance bleue]
RGB [all] , RVB [tous]
RGB [green] , RVB [vert]
RGB [blue] , RVB [bleu]
Overlay , Superposition
Average , Moyenne
RGB [red] , RVB [rouge]
Linear RGB [blue] , RVB linéaire [bleu]
Linear RGB [all] , RVB Linéaire [tous]
Colorspace , Espace de couleur
Edges , Bords
Width , Largeur
Amount , Quantité
Four Threads , Quatre fils
Flat , Plat
Sixteen Threads , Seize threads
Eight Threads , Huit threads
Two Threads , Deux threads
One Thread , Un thread
Spatial Overlap , Superposition spatiale
Specular Lightness , Luminosité spéculaire
Z-Light , Lumière-Z
Specular Shininess , Brillance spéculaire
Negative , Négatif
Grain Merge , Fusion de grain
Linear RGB , RVB linéaire
Y-Light , Lumière-Y
X-Light , Lumière-X
Red , Rouge
Y-Tiles , Tuiles-Y
Output Folder , Répertoire de destination
X-Tiles , Tuiles-X
Blue , Bleu
Frames , Cadres
Hard Light , Lumière dure
Add , Addition
Lighten , Plus clair
Edge Threshold , Seuil de contours
Reflect , Réflexion
Green , Vert
Strength , Force
Soft Light , Lumière douce
Difference , Différence
Negation , Négation
Negative Colors , Couleurs négatives
Opacity (%) , Opacité (%)
Tangent , Tangente
Anisotropy , Anisotropie
Anti-Aliasing , Anti-crénelage
Burn , Brûler
Rendering , Rendu
Sinusoidal , Sinusoïdale
Dodge , Esquisse
Value Offset , Décalage de valeur
Off , Éteint
Screen , Écran
Stamp , Tampon
Hue (%) , Teinte (%)
Shape , Forme
Number of Scales , Nombre d'échelles
Arc-Tangent , Arc-tangente
X-Axis , Axe-X
Hue Offset , Décalage de teinte
Target Value (%) , Valeur cible (%)
Target Saturation (%) , Saturation cible (%)
Target Hue (%) , Teinte cible (%)
Wireframe , Fil de fer
Offset , Décalage
Nearest Neighbor , Plus proche voisin
Lock , Vérouiller
Top Layer , Calque supérieur
Bottom Layer , Calque inférieur
Precision , Précision
Smooth , Régulier
Flat-Shaded , Éclairage plat
Freeze , Geler
Dots , Points
Remap , Reprojette
Saturation Offset , Décalage de saturation
Cosinusoidal , Cosinusoïdal
Depth , Profondeur
Y-Axis , Axe-Y
Positive , Positif
Strength (%) , Force (%)
Outline Color , Couleur de liseret
Custom Formula , Formule personnalisée
Shadows , Ombres
Black , Noir
Custom , Personnalisé
Density (%) , Densité (%)
Bilateral , Bilatéral
Black & White , Noir & Blanc
Random Seed , Graine aléatoire
Highlights , Tons clairs
Patch Size , Taille de patch
Regularization , Régularisation
Rotate , Tourne
Output , Sortie
Tones Smoothness , Régularité des tons
Invert , Inversion
Factor , Facteur
Smoothness (%) , Régularité (%)
And , Et
Output Mode , Mode de sortie
Equalize , Égalise
Channels , Canaux
Salt and Pepper , Poivre et sel
Divide , Division
Dilation , Dilatation
X-Offset , Décalage-X
Y-Offset , Décalage-Y
Y-Size , Taille-Y
Subtract , Soustraction
Number of Colors , Nombre de couleurs
Tones Range , Intervalle de tons
Seed , Graine
Time Step , Pas de temps
Details Scale , Échelle de détails
Coherence , Cohérence
Black on White , Noir sur blanc
Grain Extract , Extraction de grain
Gradient Smoothness , Régularité du gradient
Bicubic , Bicubique
Softlight , Lumière douce
Tolerance , Tolérance
XY-Axes , Axes-XY
White on Black , Blanc sur noir
X-Size , Taille-X
All Tones , Tous les tons
Output as Files , Sauve sous forme de fichiers
Output as Frames , Sauve sous forme de trames
Uniform , Uniforme
Transparency , Transparence
Square , Carré
Preserve , Préserve
Mid-Tones , Tons médians
White , Blanc
Colors , Couleurs
Fine , Fin
Blend Mode , Mode de fusion
Normalize Colors , Normalise les couleurs
Post-Normalize , Post-normalise
Landscape , Paysage
Y-Shadow , Ombre-Y
Frequency , Fréquence
Edge , Bord
Base Scale , Échelle de base
Min Threshold , Seuil min
Mask Color , Couleur de masque
Equalize Light , Égalise la lumière
Repeat , Répète
Values , Valeurs
Max Threshold , Seuil max
Merging Option , Option de fusion
Preview Progression While Running , Prévisualise la progression pendant le calcul
Fast Approximation , Approximation rapide
Outline , Liseret
Smoothness Type , Type de régularisation
Color Mode , Mode de couleur
Grainmerge , Fusion de grain
Blur , Lissage
Shading , Ombrage
Center , Centre
X-Shadow , Ombre-X
X-Offset (%) , Décalage-X (%)
CMYK , CMNJ
Darker , Plus sombre
Scales , Échelles
Tensor Smoothness , Régularité des tenseurs
Diamond , Diamant
Y-Offset (%) , Décalage-Y (%)
Darkness , Obscurité
Levels , Niveaux
Output Frames , Génère des trames
Color Strength , Force de la couleur
Hardlight , Lumière dure
Some Magenta , Un peu de magenta
Some Key , Un peu de noir
Ending Value , Valeur de fin
Starting Feathering , Adoucissement de départ
Automatic , Automatique
Skip All Other Steps , Ignore toutes les autres étapes
Output Files , Sauve fichiers
Attenuation , Atténuation
Softburn , Brûlure douce
Color Boost , Renforcement des couleurs
Length , Longueur
Softdodge , Esquive douce
Filename , Nom de fichier
Circular , Circulaire
Sphere , Sphère
Some Yellow , Un peu de jaune
Area , Aire
Some Cyan , Un peu de cyan
